EventCode,NumMentions,Actor1Code,Actor1Name,Actor2Code,Actor2Name,NumArticles,DATEADDED
051,5,zul,ZULU,,,5,20230524044500
051,10,,,SEA,SOUTHEAST ASIA,10,20230524043000
012,5,AGR,FARMER,,,5,20230524043000
110,5,AGR,FARMER,,,5,20230524043000
010,10,AUSCOP,TASMANIA,AUS,TASMANIA,10,20230524043000
138,10,AUSEDU,VICTORIA,NZLEDU,WELLINGTON,10,20230524043000
020,30,BUS,EMPLOYER,AFR,AFRICA,30,20230524043000
043,5,BUS,BUSINESS,LAB,WORKER,5,20230524043000
138,10,BUS,EMPLOYER,NZLEDU,WELLINGTON,10,20230524043000
013,10,COP,POLICE,CVL,COMMUNITY,10,20230524043000
042,10,CVL,RESIDENTS,HLH,HOSPITAL,10,20230524043000
010,10,CVL,CIVIL SOCIETY,PTY,POLITICAL PARTIES,10,20230524043000
036,10,EDU,SCHOOL,ELI,RETIRED,10,20230524043000
043,10,EDU,SCHOOL,ELI,RETIRED,10,20230524043000
010,5,EDU,COLLEGE,GOV,INTERIM PRESIDENT,5,20230524043000
013,10,EDUCVL,SCHOOL,EDU,SCHOOL,10,20230524043000
070,10,EDUEDU,SCHOOL,EDU,SCHOOL,10,20230524043000
036,10,ELI,RETIRED,EDU,SCHOOL,10,20230524043000
042,10,ELI,RETIRED,EDU,SCHOOL,10,20230524043000
081,5,GBR,WALES,,,5,20230524043000
010,10,GBR,SHEFFIELD,HLH,HOSPITAL,10,20230524043000
010,10,GBRCVL,SHEFFIELD,,,10,20230524043000
050,5,GOV,MAYOR,CVL,COMMUNITY,5,20230524043000
071,5,GOV,GOVERNMENT,EDU,SCHOOL,5,20230524043000
051,10,GOV,FIRE DEPARTMENT,LAB,EMPLOYEE,10,20230524043000
090,5,GOVEDU,DEPARTMENT OF EDUCATION,EDU,STUDENT,5,20230524043000
043,10,HLH,HOSPITAL,CVL,RESIDENTS,10,20230524043000
111,10,IGOUNO,UNITED NATIONS,CVL,CIVILIAN,10,20230524043000
084,5,IND,MAHARASHTRA,,,5,20230524043000
036,10,JUD,LAWYER,GOV,ATTORNEY GENERAL,10,20230524043000
090,10,JUD,LAWYER,GOV,ATTORNEY GENERAL,10,20230524043000
173,10,JUD,JUDGE,JORELI,HASSAN,10,20230524043000
042,5,LAB,WORKER,BUS,BUSINESS,5,20230524043000
060,10,LEG,NATIONAL ASSEMBLY,,,10,20230524043000
012,5,MED,MEDIA,,,5,20230524043000
080,5,MIL,LIEUTENANT COLONEL,,,5,20230524043000
172,10,MIL,CAPTAIN,,,10,20230524043000
080,5,MIL,LIEUTENANT COLONEL,COP,POLICE,5,20230524043000
035,10,MNCKOR,SAMSUNG,,,10,20230524043000
036,10,MNCKOR,SAMSUNG,,,10,20230524043000
060,10,NGO,ROTARY CLUB,EDU,SCHOOL,10,20230524043000
112,10,USACVL,ATLANTA,,,10,20230524043000
036,10,,,IND,MEGHALAYA,10,20230524050000
112,5,,,IND,BIHAR,5,20230524050000
1014,20,,,LEG,PARLIAMENT,20,20230524050000
020,10,,,USAGOV,SEATTLE,10,20230524050000
010,5,,,mao,MAORI,5,20230524050000
080,5,,,mao,MAORI,5,20230524050000
010,5,BUS,LANDLORD,CVL,TENANTS,5,20230524050000
020,10,BUS,BUSINESS,MIL,ARMY,10,20230524050000
017,5,COP,DEPUTY,,,5,20230524050000
1383,10,COP,POLICE,,,10,20230524050000
090,5,COP,POLICE,COPMIL,POLICE,5,20230524050000
010,10,COP,POLICE,CVL,VILLAGE,10,20230524050000
017,5,COP,DEPUTY,GOV,MAYOR,5,20230524050000
040,5,COP,PRISON,GOV,ADVISORY BOARD,5,20230524050000
090,10,COP,POLICE,MDV,MALE,10,20230524050000
145,10,CRM,ROBBER,,,10,20230524050000
0231,10,CVL,COMMUNITY,,,10,20230524050000
190,10,CVL,VILLAGE,COP,POLICE,10,20230524050000
010,5,CVL,VILLAGE,GBR,UNITED KINGDOM,5,20230524050000
026,5,EDU,SCHOOL,,,5,20230524050000
040,10,EDU,STUDENT,CVL,COMMUNITY,10,20230524050000
051,10,EDU,COLLEGE,GOV,MINIST,10,20230524050000
042,5,EDU,SCHOOL,JEW,JEWISH,5,20230524050000
042,5,ELIJUD,RETIRED,JUDJUD,JUDGE,5,20230524050000
172,10,GOV,GOVERNMENT,,,10,20230524050000
084,10,GOV,AUTHORITIES,BUS,COMPANY,10,20230524050000
040,5,GOV,ADVISORY BOARD,COP,PRISON,5,20230524050000
036,10,IND,MEGHALAYA,,,10,20230524050000
112,5,IND,BIHAR,COP,POLICE,5,20230524050000
036,10,IND,MEGHALAYA,INDGOV,ASSAM,10,20230524050000
075,10,IND,MIZORAM,REF,DISPLACED PEOPLE,10,20230524050000
1711,10,INDCOP,MIZORAM,,,10,20230524050000
020,10,INDCOP,ASSAM,GOV,GOVERNMENT,10,20230524050000
080,10,INDCOP,ASSAM,GOV,GOVERNMENT,10,20230524050000
036,10,INDGOV,ASSAM,IND,MEGHALAYA,10,20230524050000
020,10,IRLGOV,TARA,,,10,20230524050000
090,10,IRLGOV,TARA,,,10,20230524050000
043,5,JEW,JEWISH,EDU,SCHOOL,5,20230524050000
1044,10,JUD,CHIEF JUSTICE,,,10,20230524050000
173,10,JUD,LAWYER,CRM,CRIMINAL,10,20230524050000
043,5,JUDJUD,JUDGE,ELIJUD,RETIRED,5,20230524050000
010,10,LAB,EMPLOYEE,IND,MEGHALAYA,10,20230524050000
015,10,LEG,HOUSE SPEAKER,GOV,PRESIDENT,10,20230524050000
182,5,MIL,CRUISER,IND,JAMMU AND KASHMIR,5,20230524050000
190,5,MIL,CRUISER,IND,JAMMU AND KASHMIR,5,20230524050000
020,10,MNCHKG,LENOVO,,,10,20230524050000
111,10,MNCHKG,LENOVO,,,10,20230524050000
1043,10,OPP,PROTESTER,nag,NAGA,10,20230524050000
036,10,POL,POLISH,,,10,20230524050000
010,10,RAD,EXTREMIST,,,10,20230524050000
020,15,USACOP,SEATTLE,,,10,20230524050000
112,10,USAGOV,ATLANTA,CRM,GANG,10,20230524050000
051,10,miz,MIZO,,,10,20230524050000
040,10,,,RUS,IRKUTSK,10,20230524044500
051,10,BGR,PLOVDIV,,,10,20230524044500
0331,10,BUS,COMPANY,,,10,20230524044500
036,10,BUS,BUSINESS,DOM,REPUBLICA DOMINICANA,10,20230524044500
100,10,BUS,INDUSTRY,GOV,GOVERNMENT,10,20230524044500
130,10,COP,POLICE,CVL,VILLAGE,10,20230524044500
