,published_at,topic_class
225,2013-03-25T16:49:04+0000,"[(30, 0.07615543), (95, 0.08854115), (132, 0.049428977), (150, 0.087772496), (187, 0.040340055), (286, 0.039716206), (296, 0.15825519), (301, 0.14256334), (320, 0.034929026), (332, 0.057396106), (369, 0.036065266), (435, 0.08427115), (487, 0.03339507), (499, 0.038764816)]"
226,2007-11-20T23:20:17+0000,"[(10, 0.078857124), (108, 0.04243285), (281, 0.22637433), (308, 0.19731757), (330, 0.16195846), (340, 0.06405232), (400, 0.03785777), (472, 0.15470009)]"
227,2017-03-28T17:54:40+0000,"[(422, 0.9919514)]"
228,2017-05-30T01:02:20+0000,"[(92, 0.9868682)]"
229,2009-08-07T15:05:40+0000,"[(4, 0.18072543), (81, 0.07387714), (288, 0.10841401), (369, 0.16379109), (378, 0.32689542), (495, 0.07562454)]"
230,2012-10-24T12:00:00+0000,"[(13, 0.042897087), (51, 0.045003682), (100, 0.031407796), (115, 0.7550937), (211, 0.011420356), (221, 0.0121850325), (260, 0.0243205), (344, 0.01366861), (390, 0.016367834), (489, 0.01590922)]"
231,2013-08-16T17:03:20+0000,"[(132, 0.9891519)]"
232,2016-06-20T15:20:56+0000,"[(189, 0.99334633)]"
233,2008-12-05T02:12:17+0000,"[(170, 0.012915983), (478, 0.9790514)]"
234,2011-09-26T22:57:13+0000,"[(57, 0.043948576), (90, 0.045938898), (154, 0.055429433), (198, 0.036450163), (230, 0.04468463), (240, 0.1114037), (264, 0.018655395), (325, 0.28506783), (438, 0.17324585), (467, 0.035244778), (484, 0.03778307), (493, 0.0816424)]"
235,2007-04-20T00:45:20+0000,"[(380, 0.9824896)]"
236,2012-10-03T12:47:00+0000,"[(417, 0.9952475)]"
237,2008-06-13T15:56:23+0000,"[(328, 0.98991865)]"
238,2012-10-05T17:37:00+0000,"[(348, 0.989919)]"
239,2015-10-30T06:37:06+0000,"[(486, 0.98249066)]"
240,2017-03-08T19:54:28+0000,"[(273, 0.9962759)]"
241,2018-06-06T09:53:18+0000,"[(356, 0.99347687)]"
242,2008-01-24T16:35:23+0000,"[(2, 0.11336484), (10, 0.050986152), (132, 0.059239093), (138, 0.084519565), (280, 0.48646015), (288, 0.045738246), (375, 0.06455512), (382, 0.052345086)]"
243,2015-11-24T11:25:41+0000,"[(264, 0.9804308)]"
244,2017-02-09T10:03:23+0000,"[(336, 0.9974211)]"
245,2016-10-21T12:08:24-0400,"[(207, 0.54472023), (309, 0.44442436)]"
